Generated,Reference,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Pick-Up,Place-Down,0.25,0.6661379933357239,0.169426303267544,0.7140032370282146,0.7444444395833334,0.6776859455638277,0.7444444395833334,0.9551475644111631,0.7712754203175184,36.0,0.0
Pour,Place-Down,0.25,0.2918168306350708,0.11328961037275101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Slice,Place-Down,0.22222222222222224,0.4426504373550415,0.135771583124557,0.9750294193364863,0.942857137857143,0.9225352062676055,0.942857137857143,0.9966304898262024,0.984308789346408,46.0,0.0
Wipe,Place-Down,0.25,0.3212550580501556,0.220155971966159,0.9737847602634678,0.9377990380623157,0.9154929527464788,0.9377990380623157,0.9892697334289553,0.978006140056967,46.0,0.0
Close,Pour,0.25,0.2032543271780014,0.0815941431836668,0.9379000416372296,0.8272251258901895,0.7935483820967743,0.8272251258901895,0.9924825429916382,0.9408293326435583,56.0,0.0
Halve,Pour,0.2,0.3157775104045868,0.0776414292502186,0.9379000416372296,0.8229166616666668,0.7935483820967743,0.8229166616666668,0.9867915511131289,0.9460594788891488,56.0,0.0
Hold,Pour,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.8538269422212178,0.7891891841963478,0.7340067290163136,0.7891891841963478,0.9517105221748352,0.8584505373164328,52.0,0.0
Open,Pour,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.9379000416372296,0.8272251258901895,0.7935483820967743,0.8272251258901895,0.9814310073852541,0.941353127943447,56.0,0.0
Pick-Up,Pour,0.25,0.1667963415384292,0.0699600588276674,0.9270131974056619,0.8229166616666668,0.7935483820967743,0.8229166616666668,0.983156144618988,0.946904316176758,56.0,0.0
Place-Down,Pour,0.25,0.2918168306350708,0.11328961037275101,0.9142780208513818,0.8229166616666668,0.7935483820967743,0.8229166616666668,0.9762923121452332,0.9404578046906277,56.0,0.0
Slice,Pour,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wipe,Pour,0.25,0.5092052817344666,0.0970422225532095,0.9379000416372296,0.8272251258901895,0.7935483820967743,0.8272251258901895,0.9907646775245669,0.9417784801636528,56.0,0.0
Close,Slice,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.7476912923458303,0.7692307642404299,0.7402135181459203,0.7692307642404299,0.9644700288772585,0.8010127758037605,47.0,0.0
Halve,Slice,0.1818181818181818,0.3771482706069946,0.0934805650414641,0.9971550403323202,0.9894736792105265,0.9864864814864868,0.9894736792105265,0.9974266290664671,0.9972427475162524,55.0,0.0
Hold,Slice,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.6428017408796954,0.7011494203296341,0.6591760250215322,0.7011494203296341,0.9502567648887634,0.7036463154257518,43.0,0.0
Open,Slice,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.7390343174373962,0.7513812104819755,0.7285714235877551,0.7513812104819755,0.9640384912490843,0.7949686747718157,47.0,0.0
Pick-Up,Slice,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.6722287871774267,0.7011494203296341,0.6591760250215322,0.7011494203296341,0.9501985907554626,0.7183792792183121,43.0,0.0
Place-Down,Slice,0.22222222222222224,0.4426504373550415,0.135771583124557,0.692508826710813,0.6298342491560087,0.5571428521591837,0.6298342491560087,0.949942946434021,0.7474647722551501,46.0,0.0
Pour,Slice,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
